,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,29.3,-4.7,13.37,-0.05,0.54,0.94
1,100,-20.87,9.95,17.7,-0.03,0.52,0.89
2,200,-56.58,40.22,-0.37,0.02,0.5,0.9
3,300,-43.4,11.47,-25.27,0.0,0.53,1.13
4,400,-11.6,7.02,-25.76,-0.17,0.38,1.07
5,500,5.25,9.77,29.17,-0.25,0.29,0.97
6,600,-2.81,-35.4,30.09,-0.15,0.31,0.86
7,700,-98.57,-207.15,24.48,-1.3,-0.6,-0.12
8,800,-254.27,-74.4,333.8,-0.38,-1.23,1.79
9,900,113.89,-35.4,351.2,0.86,-1.46,3.13
10,1000,308.59,-118.9,218.75,1.51,-1.08,1.33
11,1100,241.88,-178.41,-44.07,1.43,-0.26,-0.18
12,1200,-66.47,-227.84,-156.56,0.93,-0.48,-0.02
13,1300,-186.65,-75.32,-238.34,0.55,-0.58,0.42
14,1400,-185.67,31.98,-204.65,-0.06,-0.55,0.53
15,1500,-147.64,-37.17,-101.68,-0.64,-0.63,1.02
16,1600,-145.57,25.82,69.89,-1.35,-0.53,0.96
17,1700,-109.62,-89.72,222.17,-0.56,-0.47,1.64
18,1800,-45.72,-111.27,217.59,0.13,-0.81,1.62
19,1900,-59.69,-5.07,135.5,0.65,-0.97,1.3
20,2000,100.1,-34.97,126.77,0.35,-1.03,1.83
21,2100,203.37,-79.71,89.48,1.08,-0.63,1.62
22,2200,154.3,-24.84,-90.94,1.25,-0.3,0.5
23,2300,73.0,-84.11,-157.04,0.65,-0.4,0.24
24,2400,6.04,-16.36,-236.21,-0.38,-0.58,0.15
25,2500,-105.53,-74.52,-167.66,-0.54,-0.22,0.67
26,2600,-152.77,45.35,-130.37,-0.92,-0.8,0.45
27,2700,-123.72,-88.62,107.18,-1.55,-0.78,1.18
28,2800,-130.86,-46.57,152.95,-0.73,-0.07,1.05
29,2900,-105.9,-125.06,116.88,-0.04,-0.27,1.19
30,3000,-63.17,-120.67,168.64,0.27,-0.85,1.79
31,3100,133.42,-160.64,170.1,1.26,-1.11,2.33
32,3200,274.17,-39.06,-15.87,1.76,-0.82,1.14
33,3300,61.77,-33.14,-223.82,0.82,-0.58,-0.16
34,3400,-28.02,-135.19,-192.38,-0.26,-0.31,0.04
35,3500,-111.88,-109.5,-125.98,-0.18,-0.17,0.66
36,3600,-137.21,-22.52,-91.49,-0.51,-0.3,0.99
37,3700,-156.98,-38.33,-20.63,-0.96,-0.19,0.87
38,3800,-136.84,-89.05,75.2,-1.0,-0.72,1.35
39,3900,-64.03,-157.71,57.98,0.08,-0.68,1.39
40,4000,-26.86,-60.3,137.21,0.09,-1.06,1.28
41,4100,121.4,-58.59,164.79,0.97,-1.01,1.75
42,4200,109.62,39.92,164.61,1.23,-0.57,1.14
43,4300,210.21,51.7,-87.83,1.05,-0.4,0.93
44,4400,106.57,18.62,-103.33,0.74,-0.23,0.53
45,4500,41.56,-51.94,-171.02,0.0,-0.17,0.37
46,4600,-69.4,-46.26,-147.71,-0.18,-0.08,0.29
47,4700,-121.7,-90.7,-166.26,-0.72,-0.35,0.49
48,4800,-156.01,-10.5,-51.21,-1.3,-0.77,0.8
49,4900,47.18,-28.2,146.3,-0.93,-0.53,1.81
