,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,159.67,-205.38,242.68,0.68,-0.75,1.55
1,100,184.81,-126.34,50.96,1.02,-0.38,1.03
2,200,85.51,-100.1,-77.09,1.06,-0.21,0.28
3,300,-30.33,-123.6,-186.22,0.93,-0.27,0.36
4,400,-77.82,-51.15,-201.35,0.19,-0.41,0.46
5,500,-108.46,-81.3,-148.86,-0.02,0.05,0.35
6,600,-170.84,-45.9,-82.58,-0.9,0.29,0.92
7,700,-215.76,56.21,4.39,-0.59,0.13,1.43
8,800,-188.54,68.48,120.06,-0.9,-0.09,1.75
9,900,-54.5,-25.51,249.02,-0.41,-0.52,1.91
10,1000,73.12,-164.25,303.53,0.32,-0.74,1.72
11,1100,187.81,-164.92,151.12,1.06,-0.6,1.46
12,1200,138.73,-39.49,6.59,0.86,-0.31,0.46
13,1300,25.94,-27.53,-70.07,0.74,-0.1,0.31
14,1400,-25.88,-30.03,-126.83,0.6,0.18,0.75
15,1500,-30.09,-24.17,-144.1,0.17,0.27,0.76
16,1600,-54.08,-6.29,-115.48,-0.14,0.49,0.58
17,1700,-65.61,8.06,-81.79,-0.35,0.55,0.75
18,1800,-44.31,51.45,-74.1,-0.33,0.66,1.03
19,1900,-36.8,40.1,-0.12,-0.34,0.59,0.97
20,2000,-52.31,-36.56,32.23,-0.14,0.52,1.11
21,2100,-22.83,-14.65,17.7,-0.07,0.44,0.97
22,2200,-18.31,23.13,11.84,-0.05,0.39,0.93
23,2300,-34.73,14.83,11.96,-0.08,0.38,1.03
24,2400,-26.25,4.64,15.26,-0.1,0.38,1.11
25,2500,-15.56,14.04,16.97,-0.09,0.34,1.05
26,2600,-16.66,-6.84,14.71,-0.08,0.31,0.96
27,2700,-19.84,-15.38,6.23,-0.02,0.28,1.05
28,2800,-15.87,9.83,-4.64,-0.02,0.3,1.04
29,2900,-13.0,23.99,3.3,-0.08,0.32,1.02
30,3000,-16.05,-6.71,2.69,-0.14,0.31,1.08
31,3100,-10.86,-22.83,9.95,-0.13,0.26,1.03
32,3200,-20.2,34.06,8.91,-0.04,0.27,0.94
33,3300,-69.21,-2.5,-15.01,0.04,0.25,0.71
34,3400,-126.46,-59.94,49.56,-0.56,0.1,0.85
35,3500,-100.89,-131.59,192.08,-0.61,-0.24,1.57
36,3600,71.11,-124.63,246.22,0.45,-0.83,2.08
37,3700,177.25,-96.31,123.6,0.9,-1.09,1.46
38,3800,164.37,-155.27,-34.67,0.94,-0.57,0.32
39,3900,19.41,-130.55,-153.14,1.0,-0.21,0.17
40,4000,-64.15,-116.33,-216.37,0.6,-0.33,0.33
41,4100,-131.41,-58.78,-157.53,0.05,-0.12,0.2
42,4200,-246.09,-163.39,-222.11,-0.36,-0.33,0.55
43,4300,-282.29,64.15,64.58,-0.53,-0.46,1.57
44,4400,-171.39,49.5,176.7,-0.6,-0.84,2.47
45,4500,4.88,-95.03,260.19,-0.51,-0.91,1.78
46,4600,123.96,-240.17,273.19,0.51,-1.2,1.53
47,4700,221.8,-143.31,92.41,0.91,-0.88,1.24
48,4800,142.76,-118.9,-23.01,0.97,-0.38,0.41
49,4900,22.95,-187.93,-157.29,1.16,-0.29,0.47
