,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-27.22,11.11,1.71,0.1,0.33,1.03
1,100,23.93,-2.62,-16.17,0.07,0.32,1.07
2,200,5.68,10.8,6.96,0.11,0.42,0.97
3,300,-24.17,5.13,3.6,0.06,0.38,0.99
4,400,-10.19,9.09,29.72,0.07,0.33,0.99
5,500,-4.88,0.18,22.95,0.43,0.34,1.09
6,600,18.55,-4.76,-32.71,1.14,0.36,1.11
7,700,20.39,32.59,-286.13,1.49,0.16,1.38
8,800,-45.59,-52.0,-218.32,-1.61,-0.78,0.19
9,900,20.57,-30.46,19.35,-1.17,0.08,0.99
10,1000,-22.09,32.84,32.59,-0.28,0.34,0.55
11,1100,-105.35,5.19,109.07,-0.27,-0.32,0.21
12,1200,-227.42,63.6,72.2,0.65,0.15,1.06
13,1300,-281.31,-62.5,-119.63,-0.26,-0.89,2.37
14,1400,-49.5,-10.44,-30.82,-0.12,-0.56,1.44
15,1500,-15.75,-9.46,-4.7,-0.31,-0.5,1.04
16,1600,-2.99,-3.78,54.38,-0.95,-0.58,0.72
17,1700,-42.91,-51.09,180.11,-0.32,-0.8,0.67
18,1800,11.9,-24.9,102.6,0.7,-0.74,1.24
19,1900,-13.49,-25.51,31.74,0.61,-0.58,1.06
20,2000,3.78,-1.16,-17.64,0.1,-0.46,0.9
21,2100,23.56,9.03,5.43,-0.52,-0.75,2.09
22,2200,275.51,-38.76,44.92,-0.13,-1.26,2.05
23,2300,164.73,-86.3,-27.89,-0.13,0.09,-0.83
24,2400,-1.04,-56.34,22.83,-0.11,0.13,0.32
25,2500,-18.25,1.71,18.92,0.14,0.32,0.98
26,2600,-32.78,8.12,-0.12,0.2,0.34,1.13
27,2700,-23.25,9.34,2.08,0.94,0.24,1.32
28,2800,-2.62,15.08,-205.44,1.58,0.29,1.14
29,2900,-62.68,-15.69,-238.04,-1.4,-0.62,0.31
30,3000,1.4,10.07,-24.96,-1.03,-0.2,1.18
31,3100,0.18,21.97,27.89,-0.48,0.17,0.97
32,3200,-37.96,-36.74,56.09,-0.25,0.05,0.71
33,3300,-74.16,-29.72,83.8,0.16,-0.0,0.21
34,3400,-249.94,54.57,-52.86,0.93,-0.16,0.47
35,3500,-332.03,-64.58,0.79,0.03,-1.59,3.97
36,3600,-20.75,-10.31,14.22,-0.08,-0.76,1.37
37,3700,10.25,-20.2,0.43,-0.22,-0.59,0.89
38,3800,8.36,-0.31,19.53,-0.59,-0.69,0.79
39,3900,38.82,-19.59,90.52,-0.95,-0.84,0.74
40,4000,17.64,-51.27,159.67,-0.16,-0.93,0.59
41,4100,-21.48,-32.96,80.99,0.86,-0.35,0.73
42,4200,-14.83,-8.85,16.72,0.36,-0.39,1.07
43,4300,-12.88,3.72,1.04,0.07,-0.43,1.08
44,4400,-20.39,18.86,3.17,-0.45,-0.52,1.73
45,4500,139.59,-29.24,25.21,-0.16,-0.71,1.94
46,4600,159.48,-27.71,24.6,-0.22,-0.56,0.82
47,4700,75.5,-18.98,-0.61,-0.09,0.08,-0.11
48,4800,-1.95,-7.02,-0.73,-0.09,0.28,0.45
49,4900,-36.38,2.81,-3.3,-0.05,0.26,1.12
