,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-17.64,-4.82,5.8,-0.17,0.47,1.02
1,100,-16.48,4.09,2.08,-0.14,0.48,0.96
2,200,-10.99,-13.0,-5.49,-0.04,0.48,1.02
3,300,-15.75,9.28,9.28,-0.17,0.44,1.0
4,400,-15.56,-13.0,24.96,0.24,0.41,1.18
5,500,-22.71,-48.89,-106.2,1.23,0.05,1.36
6,600,10.25,-115.54,-332.58,1.06,-0.41,1.32
7,700,-28.32,-160.58,-319.09,-1.17,-0.98,0.81
8,800,-12.33,-17.88,-120.48,-1.37,-0.22,1.32
9,900,-33.26,26.86,49.5,-0.52,0.23,0.97
10,1000,-57.31,91.0,58.9,-0.79,0.03,1.14
11,1100,-43.15,74.71,174.5,-1.15,-0.49,0.62
12,1200,-115.36,107.97,299.8,-0.05,-0.64,1.62
13,1300,-66.71,34.55,204.83,0.83,-0.17,1.56
14,1400,-24.9,5.92,83.07,0.66,0.08,1.41
15,1500,5.07,-13.85,29.66,0.35,0.26,1.08
16,1600,-15.63,4.21,-19.65,0.08,0.17,1.11
17,1700,14.89,-4.39,-48.28,1.03,0.09,1.27
18,1800,16.17,-72.45,-168.33,1.09,-0.06,1.33
19,1900,-7.02,-72.69,-390.14,-0.19,-0.91,1.71
20,2000,-29.85,-7.08,-192.32,-1.94,-0.82,0.86
21,2100,9.46,-22.77,-18.92,-0.62,-0.01,0.95
22,2200,-13.06,27.59,26.73,-0.53,0.16,0.9
23,2300,-32.1,64.27,46.45,-1.06,-0.41,1.06
24,2400,-72.02,99.67,215.27,-1.24,-0.88,0.65
25,2500,-172.67,108.7,273.93,-0.14,-0.64,1.5
26,2600,-110.78,-12.7,124.02,0.91,-0.05,1.78
27,2700,19.47,-42.72,28.02,0.16,0.05,1.27
28,2800,-23.56,15.38,-15.69,-0.12,0.13,0.95
29,2900,16.17,-2.32,-29.36,0.54,0.13,1.4
30,3000,64.88,-85.02,-158.94,0.78,0.06,1.39
31,3100,15.38,-102.72,-287.35,-0.12,-0.56,1.46
32,3200,-18.55,-85.08,-203.55,-1.37,-0.77,0.65
33,3300,-20.32,5.43,-46.63,-0.95,-0.32,1.1
34,3400,0.73,16.48,10.74,-0.46,0.1,0.97
35,3500,-16.36,22.71,59.88,-0.51,-0.08,1.0
36,3600,-44.8,43.09,171.2,-1.12,-0.49,0.55
37,3700,-135.62,61.28,281.68,-0.42,-1.1,1.24
38,3800,-96.13,-30.64,235.47,0.85,-0.85,1.63
39,3900,17.09,-45.96,116.94,0.82,-0.15,1.15
40,4000,10.93,9.16,25.88,0.34,-0.03,1.15
41,4100,7.69,19.71,-12.82,0.02,-0.03,1.18
42,4200,31.31,31.49,-41.69,0.3,-0.15,1.28
43,4300,36.01,68.97,-53.04,0.61,-0.33,1.44
44,4400,88.38,-16.54,-229.37,0.61,-0.42,1.2
45,4500,95.4,-71.41,-377.5,-1.48,-1.24,0.89
46,4600,8.48,-6.71,-73.43,-1.54,-0.4,0.81
47,4700,-8.48,-8.36,36.68,-0.42,0.06,0.87
48,4800,-32.78,18.55,28.44,-0.6,-0.05,0.98
49,4900,-31.74,68.05,105.35,-1.19,-0.32,0.64
