,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-11.66,5.19,5.8,-0.73,-0.69,0.21
1,100,-12.39,5.31,6.04,-0.73,-0.69,0.22
2,200,-9.83,6.53,4.33,-0.74,-0.7,0.21
3,300,-10.86,5.25,5.62,-0.74,-0.69,0.21
4,400,-10.01,6.23,6.04,-0.74,-0.68,0.21
5,500,-13.61,5.49,7.02,-0.73,-0.69,0.2
6,600,-11.35,5.07,5.37,-0.75,-0.69,0.21
7,700,-10.74,5.37,5.92,-0.73,-0.69,0.2
8,800,-13.98,5.62,7.39,-0.73,-0.69,0.21
9,900,-12.21,5.74,6.84,-0.74,-0.69,0.21
10,1000,-11.35,5.55,5.68,-0.73,-0.7,0.2
11,1100,-13.12,5.86,7.26,-0.74,-0.69,0.21
12,1200,-11.84,5.37,5.31,-0.73,-0.69,0.22
13,1300,-12.57,5.37,6.04,-0.73,-0.69,0.2
14,1400,-10.86,5.92,5.31,-0.73,-0.69,0.21
15,1500,-12.7,5.07,6.29,-0.73,-0.68,0.21
16,1600,-11.54,5.31,4.88,-0.72,-0.69,0.21
17,1700,-13.37,5.19,5.8,-0.73,-0.69,0.22
18,1800,-11.78,5.07,6.29,-0.73,-0.69,0.2
19,1900,-11.6,5.49,5.13,-0.74,-0.7,0.21
20,2000,-11.78,4.7,5.62,-0.73,-0.69,0.22
21,2100,-11.6,5.37,6.47,-0.73,-0.69,0.2
22,2200,-11.35,5.86,5.74,-0.74,-0.69,0.21
23,2300,-11.84,5.62,6.16,-0.73,-0.68,0.21
24,2400,-12.02,6.04,6.47,-0.74,-0.7,0.2
25,2500,-11.9,6.16,5.74,-0.73,-0.69,0.21
26,2600,-12.27,5.25,5.74,-0.73,-0.69,0.21
27,2700,-12.21,5.8,5.31,-0.73,-0.69,0.22
28,2800,-13.06,5.37,5.55,-0.74,-0.69,0.22
29,2900,-11.66,5.92,6.23,-0.74,-0.69,0.21
30,3000,-10.56,5.13,5.74,-0.73,-0.7,0.21
31,3100,-11.05,5.8,5.86,-0.73,-0.69,0.22
32,3200,-11.05,5.68,5.19,-0.74,-0.69,0.2
33,3300,-12.08,5.98,6.16,-0.73,-0.7,0.22
34,3400,-11.84,5.49,5.37,-0.73,-0.7,0.22
35,3500,-11.05,5.49,4.52,-0.74,-0.7,0.2
36,3600,-10.44,4.82,5.07,-0.74,-0.69,0.21
37,3700,-11.78,5.86,5.68,-0.74,-0.69,0.2
38,3800,-12.7,5.92,6.29,-0.73,-0.7,0.21
39,3900,-11.78,5.31,5.74,-0.74,-0.69,0.21
40,4000,-11.66,5.19,5.55,-0.73,-0.69,0.21
41,4100,-12.21,4.82,6.23,-0.74,-0.7,0.22
42,4200,-12.21,4.21,6.65,-0.74,-0.68,0.2
43,4300,-10.8,6.04,4.58,-0.73,-0.69,0.21
44,4400,-11.17,4.88,5.68,-0.73,-0.69,0.21
45,4500,-12.08,5.98,5.86,-0.74,-0.69,0.21
46,4600,-12.57,5.98,5.19,-0.73,-0.69,0.21
47,4700,-11.17,5.13,5.62,-0.74,-0.69,0.2
48,4800,-12.45,5.8,5.98,-0.72,-0.69,0.2
49,4900,-11.17,5.43,5.49,-0.75,-0.7,0.21
