,time[ms],Gx[mg],Gy[mg],Gz[mg],Ax[dps],Ay[dps],Az[dps]
0,0,-11.96,3.48,5.74,-0.0,-0.3,-0.85
1,100,-11.84,4.09,5.8,-0.0,-0.3,-0.85
2,200,-11.72,4.94,5.8,-0.0,-0.3,-0.85
3,300,-12.63,4.52,6.9,-0.0,-0.3,-0.86
4,400,-11.35,4.39,5.68,-0.0,-0.3,-0.85
5,500,-12.08,4.15,6.23,0.0,-0.3,-0.85
6,600,-12.02,3.97,6.53,-0.0,-0.3,-0.85
7,700,-11.47,4.52,6.04,-0.0,-0.3,-0.86
8,800,-11.9,4.27,5.68,-0.01,-0.29,-0.85
9,900,-11.54,3.97,6.71,0.0,-0.29,-0.85
10,1000,-11.78,4.03,6.59,-0.0,-0.29,-0.86
11,1100,-11.96,4.09,6.16,-0.0,-0.3,-0.85
12,1200,-11.23,3.72,5.86,-0.0,-0.3,-0.85
13,1300,-11.29,4.94,5.92,-0.0,-0.3,-0.84
14,1400,-12.02,4.39,6.71,-0.0,-0.3,-0.85
15,1500,-10.56,5.55,5.43,-0.01,-0.3,-0.86
16,1600,-11.66,5.0,6.47,-0.0,-0.3,-0.85
17,1700,-12.39,4.09,4.94,-0.01,-0.3,-0.85
18,1800,-12.63,4.82,6.1,-0.0,-0.3,-0.85
19,1900,-11.47,4.76,5.74,-0.01,-0.3,-0.85
20,2000,-11.66,5.62,6.16,-0.01,-0.3,-0.85
21,2100,-13.0,3.54,6.29,0.0,-0.29,-0.85
22,2200,-11.29,4.52,5.86,-0.01,-0.3,-0.85
23,2300,-12.51,4.58,7.39,-0.0,-0.3,-0.85
24,2400,-11.9,5.13,5.8,-0.0,-0.3,-0.85
25,2500,-12.21,4.76,5.55,-0.01,-0.3,-0.85
26,2600,-12.82,4.21,6.16,-0.0,-0.3,-0.85
27,2700,-12.45,4.88,5.62,-0.01,-0.3,-0.85
28,2800,-11.05,4.46,5.49,-0.0,-0.3,-0.85
29,2900,-13.24,3.66,5.68,-0.0,-0.3,-0.85
30,3000,-11.11,4.15,6.41,-0.0,-0.3,-0.85
31,3100,-11.72,3.6,5.49,-0.01,-0.3,-0.85
32,3200,-11.84,4.76,6.65,-0.01,-0.3,-0.85
33,3300,-12.27,4.15,6.04,-0.0,-0.29,-0.85
34,3400,-12.08,5.43,5.68,-0.0,-0.3,-0.85
35,3500,-11.66,4.15,5.98,0.01,-0.3,-0.85
36,3600,-11.66,4.94,5.8,-0.0,-0.3,-0.85
37,3700,-12.27,3.72,5.98,-0.0,-0.3,-0.85
38,3800,-11.23,3.3,4.21,-0.01,-0.3,-0.85
39,3900,-11.11,4.09,6.16,-0.0,-0.3,-0.85
40,4000,-11.66,5.49,5.55,0.0,-0.3,-0.85
41,4100,-11.66,4.27,5.37,-0.0,-0.3,-0.85
42,4200,-12.21,4.64,6.16,-0.01,-0.3,-0.85
43,4300,-12.57,4.46,6.77,-0.01,-0.3,-0.85
44,4400,-11.9,5.13,5.13,-0.0,-0.3,-0.85
45,4500,-11.23,5.37,5.43,0.0,-0.3,-0.85
46,4600,-11.17,5.25,5.98,-0.01,-0.29,-0.85
47,4700,-11.72,4.21,5.37,-0.0,-0.3,-0.86
48,4800,-12.15,3.23,5.62,-0.01,-0.3,-0.85
49,4900,-11.84,4.7,6.65,-0.01,-0.3,-0.85
